country,year,gdp,population,health_expenditure_per_capita,life_expectancy,gdp_per_capita,continent
Afghanistan,2016,19362642266.6484,35383128.0,61.451286315918,63.763,547.2281101503631,Asia
Albania,2016,11861200797.4707,2876101.0,,78.194,4124.055725953539,Europe
Algeria,2016,160033844070.572,40551404.0,260.422393798828,76.298,3946.4439768983584,Africa
American Samoa,2016,652000000.0,55741.0,,,11696.955562332932,
Andorra,2016,2896679211.86628,77297.0,3843.70288085938,,37474.665405724416,Europe
Angola,2016,101123851090.455,28842484.0,95.2208023071289,59.925,3506.0728850696423,Africa
Antigua and Barbuda,2016,1436585185.18519,94527.0,632.175354003906,76.617,15197.617455173548,North America
Argentina,2016,557531376217.967,43590368.0,959.291564941406,76.221,12790.242473244709,South America
Armenia,2016,10546135160.031,2936146.0,358.842102050781,74.64,3591.829275530236,Europe
Aruba,2016,2965921787.7095,104872.0,,75.868,28281.350481629986,
Australia,2016,1208846993739.99,24190907.0,4999.810546875,82.4487804878049,49971.13145612895,Oceania
Austria,2016,395227684138.862,8736668.0,4718.9443359375,81.6414634146342,45237.805092154354,Europe
Azerbaijan,2016,37867518957.1975,9757812.0,259.436859130859,72.493,3880.7387308955635,Europe
"Bahamas, The",2016,11938400000.0,377931.0,1837.2587890625,73.329,31588.834998981296,North America
Bahrain,2016,32250132978.7234,1425791.0,1099.3623046875,76.899,22619.11667188487,Asia
Bangladesh,2016,221415162445.648,157970840.0,33.5261917114258,71.785,1401.6204664458833,Asia
Barbados,2016,4830000000.0,285796.0,1163.77502441406,78.888,16900.166552366023,North America
Belarus,2016,47722657820.6675,9501534.0,297.542999267578,73.8268292682927,5022.626643304913,Europe
Belgium,2016,475900865683.644,11331422.0,4278.771484375,81.4390243902439,41998.33575023893,Europe
Belize,2016,1775100000.0,368400.0,300.151733398438,74.219,4818.403908794789,North America
Benin,2016,11821066152.598,10872067.0,30.4014759063721,60.885,1087.2878315225614,Africa
Bermuda,2016,,64554.0,,81.2270731707317,,
Bhutan,2016,2158972129.00307,736709.0,91.335334777832,70.781,2930.562988918379,Asia
Bolivia,2016,33941126193.9219,11031813.0,213.017333984375,70.626,3076.6589493424067,South America
Bosnia and Herzegovina,2016,16913330693.9653,3386267.0,443.776550292969,76.998,4994.683140450916,Europe
Botswana,2016,15646316818.3319,2159944.0,386.631958007813,68.178,7243.852997268401,Africa
Brazil,2016,1795700168991.49,206163058.0,795.661560058594,75.23,8710.096689541198,South America
British Virgin Islands,2016,,29355.0,,,,
Brunei Darussalam,2016,11400854267.7188,419800.0,686.482360839844,75.45,27157.823410478322,Asia
Bulgaria,2016,53785050339.3665,7127822.0,612.478576660156,74.8121951219512,7545.790332497992,Europe
Burkina Faso,2016,12822558021.8952,18646378.0,40.954662322998,60.354,687.6701749742068,Africa
Burundi,2016,2959640987.29943,10487998.0,22.3399829864502,60.528,282.19313040481416,Africa
Cabo Verde,2016,1662998677.88425,531146.0,149.276519775391,72.347,3130.9633846141173,Africa
Cambodia,2016,20016747754.0192,15766293.0,77.6736907958984,68.977,1269.5912573754147,Asia
Cameroon,2016,32643697595.8378,23926539.0,65.1211853027344,58.063,1364.3301104199734,Africa
Canada,2016,1528243213982.08,36109487.0,4518.13623046875,81.9,42322.48478030386,North America
Cayman Islands,2016,4898908676.34705,62569.0,,,78296.09992723312,
Central African Republic,2016,1825018190.85071,4537687.0,16.3604354858398,51.593,402.1912905960041,Africa
Chad,2016,10097778353.7651,14561666.0,34.6115684509277,53.438,693.4493864757715,Africa
Channel Islands,2016,,166923.0,,82.6,,
Chile,2016,250440136356.127,18209068.0,1190.54858398438,79.779,13753.594437459788,South America
China,2016,11233277146512.2,1378665000.0,398.331573486328,76.21,8147.938147782238,Asia
Colombia,2016,282825012368.255,48171392.0,419.335205078125,76.732,5871.2235753588975,South America
Comoros,2016,1012835518.26037,795592.0,57.5402717590332,63.7,1273.0589526545893,Africa
"Congo, Dem. Rep.",2016,37134799974.5225,78789127.0,20.6037197113037,59.655,471.318840409572,Africa
"Congo, Rep.",2016,9041986778.39021,4980999.0,52.9479827880859,63.556,1815.2958429403839,Africa
Costa Rica,2016,57157992434.1805,4899345.0,886.501342773438,79.738,11666.455910775929,North America
Cote d'Ivoire,2016,47964234560.0514,23822714.0,67.5706939697266,56.567,2013.3824617989117,Africa
Croatia,2016,51596973258.8892,4174349.0,840.905029296875,78.0219512195122,12360.483816491913,Europe
Cuba,2016,91370000000.0,11335109.0,972.758544921875,78.607,8060.795886479786,North America
Curacao,2016,3122287932.96089,159664.0,,77.719512195122,19555.365849289068,
Cyprus,2016,20890936462.2537,1170187.0,1636.82104492188,80.513,17852.64787786371,Europe
Czech Republic,2016,195090272402.729,10566332.0,1321.62023925781,79.0268292682927,18463.386575656434,Europe
Denmark,2016,313115929314.339,5728010.0,5565.59375,80.8536585365854,54663.998371919566,Europe
Djibouti,2016,2603554906.59464,929112.0,75.1489334106445,65.064,2802.1970511570617,Africa
Dominica,2016,576229629.629629,71307.0,411.9638671875,,8080.9686234118535,North America
Dominican Republic,2016,75704720189.5607,10397743.0,414.297088623047,73.471,7280.880109227618,North America
Ecuador,2016,99937696000.0,16491115.0,505.998352050781,76.365,6060.093329044155,South America
"Egypt, Arab Rep.",2016,332927833278.038,94447072.0,151.468505859375,71.482,3525.020164500579,Africa
El Salvador,2016,24191440000.0,6356143.0,293.785919189453,72.644,3805.9936662847263,North America
Equatorial Guinea,2016,11240809132.4145,1215179.0,290.344024658203,57.713,9250.331953082221,Africa
Eritrea,2016,,,29.3741779327393,65.111,,Africa
Estonia,2016,23996451497.6139,1315790.0,1185.29711914063,77.6414634146342,18237.295843268224,Europe
Eswatini,2016,3840677845.0034,1113984.0,193.782485961914,56.962,3447.695698505005,Africa
Ethiopia,2016,74296618481.0882,103603501.0,26.6730613708496,65.482,717.124592933285,Africa
Faroe Islands,2016,2689157270.82312,48173.0,,82.0463414634146,55822.91472034376,
Fiji,2016,4930204229.72263,872399.0,179.911590576172,67.175,5651.31806630066,Oceania
Finland,2016,240607907010.383,5495303.0,4094.89477539063,81.4292682926829,43784.28396220972,Europe
France,2016,2471285607081.72,66724104.0,4256.96142578125,82.5731707317073,37037.37418612201,Europe
French Polynesia,2016,,274575.0,,77.024,,
Gabon,2016,14023890620.3384,2007873.0,219.985092163086,65.418,6984.451018733954,Africa
"Gambia, The",2016,1470006033.90217,2149139.0,20.9121723175049,61.166,683.9976538986868,Africa
Georgia,2016,15141758566.7808,3727505.0,308.462951660156,73.207,4062.169887573806,Europe
Germany,2016,3466790065011.83,82348669.0,4734.18310546875,80.990243902439,42098.920445354495,Europe
Ghana,2016,55009730600.0307,28481946.0,67.5088653564453,63.124,1931.3894703694298,Africa
Gibraltar,2016,,33737.0,,,,
Greece,2016,195222443512.937,10775971.0,1499.35083007813,81.3878048780488,18116.459622333525,Europe
Greenland,2016,2707146783.13056,56186.0,,70.8487804878049,48181.87418806393,
Grenada,2016,1061631222.22222,110261.0,463.693176269531,72.408,9628.34748662011,North America
Guam,2016,5795000000.0,162951.0,,79.391,35562.83790832827,
Guatemala,2016,66053725049.0138,15827690.0,248.802200317383,73.541,4173.301666194739,North America
Guinea,2016,8603884845.39159,11738441.0,37.4593391418457,60.17,732.9665707219204,Africa
Guinea-Bissau,2016,1178204501.38801,1782437.0,52.1820411682129,57.328,661.0076549061819,Africa
Guyana,2016,3504024213.07506,771366.0,232.94059753418,69.454,4542.62206666493,South America
